tên hàng hóa,danh mục,kết quả mong muốn
Giấy vệ sinh,"[Xà phòng, dầu rửa bát, giấy vs, giấy lau bếp, giẻ lau, nước rửa chén]",Giấy vs
Nước rửa chén Sunlight,"[Bột giặt, nước xả vải, nước rửa chén, nước lau sàn, cọ xoong]",Nước rửa chén
BVS Kotex hàng ngày,"[Bỉm người lớn, băng vệ sinh, tã dán, tampon, bỉm quần]",Băng vệ sinh
Sữa tắm Lifebuoy,"[Dầu gội, sữa tắm, sữa rửa mặt, kem đánh răng, xà phòng cục]",Sữa tắm
Dầu gội Clear Men,"[Sữa tắm, dầu xả, dầu gội, kem ủ tóc, gel vuốt tóc]",Dầu gội
Kem đánh răng PS,"[Bàn chải, kem đánh răng, nước súc miệng, chỉ nha khoa, tăm nước]",Kem đánh răng
Bột giặt Omo,"[Nước giặt, bột giặt, nước xả, tẩy quần áo, giấy thơm]",Bột giặt
Nước xả vải Comfort,"[Nước giặt, bột giặt, nước xả vải, viên giặt, xả khô]",Nước xả vải
Bỉm Merries size L,"[Tã dán, bỉm quần, miếng lót sơ sinh, tã người già, khăn ướt]",Bỉm quần
Sữa tươi Vinamilk không đường,"[Sữa đặc, sữa tươi, sữa chua, váng sữa, phô mai]",Sữa tươi
Mì tôm Hảo Hảo,"[Miến, phở, mì gói, hủ tiếu, bánh đa]",Mì gói
Dầu ăn Simply,"[Dầu oliu, dầu đậu nành, dầu hướng dương, mỡ lợn, bơ thực vật]",Dầu đậu nành
Nước mắm Nam Ngư,"[Nước tương, nước mắm, tương ớt, tương cà, dầu hào]",Nước mắm
Hạt nêm Knorr,"[Muối, đường, bột ngọt, hạt nêm, tiêu]",Hạt nêm
Bánh Chocopie,"[Bánh quy, bánh gạo, bánh chocopie, kẹo dẻo, socola]",Bánh chocopie
Tương ớt Chinsu,"[Tương cà, tương ớt, mayonnaise, tương đen, sa tế]",Tương ớt
Cà phê G7,"[Trà túi lọc, cà phê hòa tan, cà phê phin, cacao, ngũ cốc]",Cà phê hòa tan
Trà Lipton túi lọc,"[Trà xanh, trà đen, trà túi lọc, trà hoa cúc, trà gừng]",Trà túi lọc
Bia Heineken,"[Bia lon, bia chai, rượu vang, rượu trắng, nước ngọt]",Bia lon
Nước ngọt Coca Cola,"[Nước cam, nước chanh, coca cola, pepsi, 7up]",Coca cola
Khăn giấy Pulppy,"[Giấy vệ sinh, khăn giấy hộp, khăn giấy ướt, khăn giấy bỏ túi, giấy ăn]",Khăn giấy hộp
Xúc xích Vissan,"[Xúc xích, lạp xưởng, chả lụa, giò thủ, nem chua]",Xúc xích
Sữa chua Vinamilk có đường,"[Sữa chua uống, sữa chua có đường, sữa chua không đường, sữa chua Hy Lạp, kefir]",Sữa chua có đường
Phô mai Con Bò Cười,"[Phô mai que, phô mai lát, phô mai tươi, phô mai Con Bò Cười, cream cheese]",Phô mai Con Bò Cười
Bánh mì tươi Kinh Đô,"[Bánh mì sandwich, bánh mì tươi, bánh mì ngọt, bánh mì baguette, bánh mì que]",Bánh mì tươi
Gạo ST25,"[Gạo nếp, gạo tẻ, gạo lứt, gạo ST25, tấm]",Gạo ST25
Trứng gà ta,"[Trứng gà công nghiệp, trứng gà ta, trứng vịt, trứng cút, trứng ngỗng]",Trứng gà ta
Thịt heo ba rọi,"[Thịt nạc vai, thịt ba rọi, sườn non, xương ống, thịt xay]",Thịt ba rọi
Cá diêu hồng,"[Cá rô phi, cá chép, cá diêu hồng, cá basa, cá lóc]",Cá diêu hồng
Rau muống,"[Rau cải, rau muống, rau dền, mồng tơi, rau ngót]",Rau muống
Nước lọc Aquafina,"[Nước khoáng, nước tinh khiết, nước có ga, nước ion kiềm, nước suối]",Nước tinh khiết
q.tây,"[Quần jean, quần tây, quần short, quần kaki, quần jogger]",Quần tây
nc hoa chanel,"[Nước hoa nam, nước hoa nữ, xịt thơm toàn thân, lăn khử mùi, nước hoa chanel]",Nước hoa chanel
son d.,"[Son môi, son dưỡng, son bóng, son kem, son thỏi]",Son môi
ao thun AD,"[Áo sơ mi, áo thun, áo polo, áo khoác, áo len]",Áo thun
Giày NK,"[Giày thể thao, giày da, sandal, dép, giày cao gót]",Giày thể thao
Túi GC,"[Balo, túi xách, ví, cặp laptop, túi tote]",Túi xách
Kính RB,"[Kính râm, kính cận, kính áp tròng, kính mát, gọng kính]",Kính râm
Đồng hồ DW,"[Đồng hồ cơ, đồng hồ điện tử, smartwatch, đồng hồ DW, đồng hồ treo tường]",Đồng hồ DW
Iphone 15 prm,"[Điện thoại Samsung, điện thoại Iphone, điện thoại Oppo, điện thoại Xiaomi, điện thoại Vsmart]",Điện thoại Iphone
Laptop Dell Vostro,"[Laptop HP, Laptop Dell, Laptop Asus, Macbook, Laptop Acer]",Laptop Dell
Tai nghe Sony WF-1000XM5,"[Tai nghe có dây, tai nghe bluetooth, tai nghe true wireless, loa di động, tai nghe Sony]",Tai nghe true wireless
Sạc dự phòng Anker,"[Củ sạc, cáp sạc, sạc dự phòng, pin, sạc không dây]",Sạc dự phòng
Chuột Logitech MX Master 3,"[Chuột có dây, chuột không dây, bàn phím, lót chuột, chuột Logitech]",Chuột không dây
Bàn phím cơ Filco,"[Bàn phím giả cơ, bàn phím cơ, bàn phím không dây, bàn phím Apple, bàn phím mini]",Bàn phím cơ
Màn hình LG UltraGear,"[Màn hình Dell, Màn hình LG, Màn hình Samsung, Màn hình Viewsonic, Màn hình Asus]",Màn hình LG
Tivi Sony 4K,"[Tivi Samsung, Tivi Sony, Tivi LG, Tivi TCL, Tivi Casper]",Tivi Sony
Tủ lạnh Panasonic Inverter,"[Tủ lạnh mini, tủ lạnh side by side, tủ lạnh Panasonic, tủ lạnh Samsung, tủ lạnh Beko]",Tủ lạnh Panasonic
Máy giặt LG AI DD,"[Máy giặt cửa trên, máy giặt cửa trước, máy giặt LG, máy giặt sấy, máy giặt Electrolux]",Máy giặt LG
Điều hòa Daikin,"[Điều hòa 1 chiều, điều hòa 2 chiều, điều hòa Daikin, điều hòa Panasonic, quạt điều hòa]",Điều hòa Daikin
Bếp từ Bosch,"[Bếp gas, bếp từ, bếp hồng ngoại, bếp từ Bosch, lò vi sóng]",Bếp từ
Lò vi sóng Sharp,"[Lò nướng, lò vi sóng, nồi chiên không dầu, máy hấp, lò vi sóng Sharp]",Lò vi sóng
Nồi cơm điện Cuckoo,"[Nồi cơm điện tử, nồi cơm cao tần, nồi cơm Cuckoo, nồi áp suất, nồi cơm Toshiba]",Nồi cơm điện Cuckoo
Máy hút bụi Dyson,"[Máy hút bụi cầm tay, robot hút bụi, máy hút bụi Dyson, máy hút bụi công nghiệp, máy lau nhà]",Máy hút bụi cầm tay
Máy lọc không khí Xiaomi,"[Máy phun sương, máy tạo ẩm, máy lọc không khí, máy hút ẩm, máy lọc không khí Xiaomi]",Máy lọc không khí
Quạt cây Mitsubishi,"[Quạt trần, quạt cây, quạt hộp, quạt treo tường, quạt Mitsubishi]",Quạt cây
Bàn là Philips,"[Bàn là hơi nước, bàn là khô, bàn là cây, bàn là Philips, bàn là Tefal]",Bàn là hơi nước
Thuốc ho Prospan,"[Thuốc cảm, thuốc ho, thuốc đau đầu, thuốc hạ sốt, vitamin C]",Thuốc ho
Vitamin C DHC,"[Vitamin tổng hợp, Vitamin C, Collagen, Omega 3, Thực phẩm chức năng]",Vitamin C
Sữa rửa mặt Cetaphil,"[Sữa rửa mặt, tẩy trang, toner, serum, kem dưỡng]",Sữa rửa mặt
Kem chống nắng Anessa,"[Kem chống nắng vật lý, kem chống nắng hóa học, kem chống nắng Anessa, xịt chống nắng, kem chống nắng cho da dầu]",Kem chống nắng Anessa
Mặt nạ SK-II,"[Mặt nạ giấy, mặt nạ đất sét, mặt nạ ngủ, mặt nạ SK-II, mặt nạ lột]",Mặt nạ giấy
Tẩy trang Bioderma,"[Dầu tẩy trang, nước tẩy trang, sáp tẩy trang, tẩy trang Bioderma, khăn giấy tẩy trang]",Nước tẩy trang
Bút bi Thiên Long,"[Bút bi, bút chì, bút máy, bút highlight, bút xóa]",Bút bi
Vở kẻ ngang Campus,"[Vở ô ly, vở kẻ ngang, sổ tay, giấy A4, file tài liệu]",Vở kẻ ngang
Sách Đắc Nhân Tâm,"[Tiểu thuyết, truyện tranh, sách kỹ năng sống, sách kinh tế, sách thiếu nhi]",Sách kỹ năng sống
Tã dán Bobby Newborn,"[Tã dán, bỉm quần, miếng lót sơ sinh, tã người già, khăn ướt]",Tã dán
Sữa bột Friso Gold,"[Sữa bột cho bé, sữa bột cho người lớn, sữa non, sữa công thức, sữa Friso]",Sữa bột cho bé
Xe đẩy Combi,"[Xe đẩy, địu em bé, ghế ngồi ô tô, nôi cũi, xe tập đi]",Xe đẩy
Đồ chơi Lego,"[Đồ chơi xếp hình, búp bê, ô tô điều khiển, đồ chơi giáo dục, Lego]",Đồ chơi xếp hình
Bỉm ng lớn Caryn,"[BVS, tã quần ng lớn, tã dán ng lớn, miếng lót, bỉm người già]",Tã dán ng lớn
Nước yến sào Sanest,"[Nước tăng lực, nước yến, nước trái cây, trà sữa, nước ép]",Nước yến
Thực phẩm chức năng Blackmores,"[Vitamin, khoáng chất, thực phẩm chức năng, thảo dược, Blackmores]",Thực phẩm chức năng
Bao cao su Durex,"[Bao cao su, gel bôi trơn, que thử thai, thuốc tránh thai, Durex]",Bao cao su
Cà phê phin Trung Nguyên,"[Cà phê hòa tan, cà phê phin, cà phê hạt, cà phê rang xay, Trung Nguyên]",Cà phê phin
Lạp xưởng Mai Quế Lộ,"[Xúc xích, lạp xưởng, chả lụa, giò thủ, nem chua]",Lạp xưởng
Dầu gió xanh Thiên Thảo,"[Dầu nóng, dầu gió, cao sao vàng, dầu khuynh diệp, dầu tràm]",Dầu gió
Kem nghệ Thorakao,"[Kem trị mụn, kem dưỡng da, kem nghệ, kem chống lão hóa, serum]",Kem nghệ
Nước súc miệng Listerine,"[Kem đánh răng, nước súc miệng, chỉ nha khoa, tăm nước, bàn chải]",Nước súc miệng
Bông tẩy trang Ipek,"[Bông gòn, bông tẩy trang, tăm bông, khăn khô đa năng, bông y tế]",Bông tẩy trang
Dao cạo râu Gillette,"[Dao cạo, bọt cạo râu, kem cạo râu, lưỡi dao thay thế, máy cạo râu]",Dao cạo
Lăn khử mùi Nivea,"[Xịt khử mùi, lăn khử mùi, sáp khử mùi, phèn chua, Nivea]",Lăn khử mùi
Sữa đặc Ông Thọ,"[Sữa tươi, sữa đặc, sữa chua, váng sữa, kem]",Sữa đặc
Kẹo Alpenliebe,"[Kẹo cứng, kẹo mềm, kẹo cao su, kẹo mút, socola]",Kẹo cứng
Snack Oishi,"[Bim bim, snack, khoai tây chiên, da cá trứng muối, rong biển]",Snack
Sô cô la Hershey's,"[Sô cô la đen, sô cô la sữa, sô cô la trắng, kẹo socola, Hershey's]",Sô cô la sữa
Chà bông heo,"[Chà bông cá, chà bông gà, chà bông heo, ruốc, dăm bông]",Chà bông heo
Pate cột đèn Hải Phòng,"[Pate gan, pate thịt, pate chay, pate cột đèn, jambon]",Pate gan
Giò me Nghệ An,"[Chả lụa, giò thủ, giò me, nem chua, chả cá]",Giò me
Bánh đậu xanh Rồng Vàng,"[Bánh pía, bánh đậu xanh, bánh cốm, bánh khảo, kẹo lạc]",Bánh đậu xanh
Trà Thái Nguyên,"[Trà sen, trà lài, trà Thái Nguyên, trà Oolong, trà Atiso]",Trà Thái Nguyên
Rượu mơ Yên Tử,"[Rượu nếp, rượu táo mèo, rượu mơ, rượu vang, rượu sim]",Rượu mơ
Nước khoáng Lavie,"[Nước tinh khiết, nước khoáng, nước có ga, nước ion kiềm, nước suối]",Nước khoáng
Pin tiểu Con Ó,"[Pin AA, pin AAA, pin sạc, pin cúc áo, pin vuông]",Pin AA
Bóng đèn Rạng Đông,"[Bóng đèn LED, bóng đèn compact, bóng đèn sợi đốt, đèn tuýp, Rạng Đông]",Bóng đèn LED
Ổ cắm điện Lioa,"[Ổ cắm, phích cắm, dây điện, công tắc, Lioa]",Ổ cắm
Thẻ nhớ SanDisk 128GB,"[USB, thẻ nhớ, ổ cứng di động, đầu đọc thẻ, SanDisk]",Thẻ nhớ
Ốp lưng Iphone,"[Ốp lưng, dán màn hình, sạc dự phòng, tai nghe, gậy tự sướng]",Ốp lưng
Dây sạc Type C,"[Dây sạc Lightning, Dây sạc Micro USB, Dây sạc Type C, củ sạc, cáp]",Dây sạc Type C
Router Wifi TP-Link,"[Bộ phát Wifi, modem, router, bộ kích sóng, TP-Link]",Router
Webcam Logitech,"[Webcam, micro, tai nghe, loa, camera an ninh]",Webcam
USB Kingston 64GB,"[USB, thẻ nhớ, ổ cứng, USB Kingston, USB 3.0]",USB
Loa Bluetooth JBL Go 3,"[Loa vi tính, loa soundbar, loa bluetooth, loa kéo, JBL]",Loa bluetooth
Sữa rửa tay khô Green Cross,"[Xà phòng, sữa rửa tay, nước rửa tay khô, cồn y tế, Green Cross]",Nước rửa tay khô
Khẩu trang y tế 4 lớp,"[Khẩu trang vải, khẩu trang y tế, khẩu trang N95, khẩu trang trẻ em, găng tay]",Khẩu trang y tế
Găng tay cao su,"[Găng tay y tế, găng tay cao su, găng tay nilon, găng tay vải, khẩu trang]",Găng tay cao su
Cồn 90 độ,"[Oxy già, cồn 70 độ, cồn 90 độ, povidine, nước muối sinh lý]",Cồn 90 độ
Băng gạc y tế,"[Băng cá nhân, băng gạc, bông gòn, băng thun, urgo]",Băng gạc
Nhiệt kế điện tử Omron,"[Nhiệt kế thủy ngân, nhiệt kế điện tử, máy đo huyết áp, máy đo đường huyết, Omron]",Nhiệt kế điện tử
Máy đo huyết áp Microlife,"[Máy đo huyết áp cơ, máy đo huyết áp điện tử, máy đo SPO2, nhiệt kế, Microlife]",Máy đo huyết áp điện tử
Que thử thai Quickstick,"[Que thử rụng trứng, que thử thai, bút thử thai, cốc nguyệt san, Quickstick]",Que thử thai
Gel bôi trơn KY,"[Bao cao su, gel bôi trơn, sản phẩm hỗ trợ tình dục, gel tăng khoái cảm, KY]",Gel bôi trơn
Dầu gội khô Batiste,"[Dầu gội, dầu xả, dầu gội khô, xịt dưỡng tóc, kem ủ]",Dầu gội khô
Xịt khoáng Avene,"[Toner, xịt khoáng, essence, lotion, Avene]",Xịt khoáng
Kem dưỡng ẩm Klairs,"[Serum, kem dưỡng ẩm, kem chống lão hóa, kem dưỡng mắt, Klairs]",Kem dưỡng ẩm
Tẩy da chết Rosette,"[Tẩy da chết vật lý, tẩy da chết hóa học, mặt nạ lột, Rosette, gel tẩy da chết]",Tẩy da chết vật lý
Sơn móng tay OPI,"[Sơn gel, sơn móng tay, dưỡng móng, nước rửa móng tay, OPI]",Sơn móng tay
Nước hoa hồng Thayers,"[Toner, nước hoa hồng, lotion, essence, Thayers]",Nước hoa hồng
Kẻ mắt Maybelline,"[Chì kẻ mày, kẻ mắt nước, mascara, phấn mắt, Maybelline]",Kẻ mắt nước
Phấn phủ Innisfree,"[Kem nền, cushion, phấn phủ, che khuyết điểm, Innisfree]",Phấn phủ
Má hồng Canmake,"[Tạo khối, highlight, má hồng kem, má hồng phấn, Canmake]",Má hồng phấn
Cọ trang điểm Real Techniques,"[Mút trang điểm, cọ nền, cọ mắt, cọ má hồng, bộ cọ Real Techniques]",Bộ cọ Real Techniques
Vali size 20,"[Vali size 20, vali size 24, vali size 28, balo du lịch, túi kéo]",Vali size 20
Balo laptop,"[Balo đi học, balo du lịch, balo laptop, cặp xách, túi chống sốc]",Balo laptop
Túi ngủ văn phòng,"[Lều, túi ngủ, đệm hơi, ghế xếp, đèn pin]",Túi ngủ
Giày đi mưa,"[Ủng, giày đi mưa, áo mưa, ô dù, bọc giày đi mưa]",Giày đi mưa
Áo mưa bộ,"[Áo mưa cánh dơi, áo mưa bộ, áo mưa măng tô, áo mưa trẻ em, ô]",Áo mưa bộ
Mũ bảo hiểm 3/4,"[Mũ bảo hiểm nửa đầu, mũ bảo hiểm 3/4, mũ bảo hiểm fullface, mũ bảo hiểm trẻ em, kính phi công]",Mũ bảo hiểm 3/4
Găng tay xe máy,"[Găng tay len, găng tay da, găng tay xe máy, găng tay chống nắng, bao tay]",Găng tay xe máy
Khóa chống trộm xe máy,"[Khóa đĩa, khóa chữ U, khóa dây, khóa chống trộm, định vị GPS]",Khóa chống trộm
Nhớt xe máy Motul,"[Nhớt Castrol, nhớt Motul, nhớt Shell, nước làm mát, dầu phanh]",Nhớt Motul
Lốp xe Michelin,"[Lốp Dunlop, lốp Michelin, lốp Maxxis, săm xe, vá xe]",Lốp Michelin
Bugi NGK,"[Bugi, lọc gió, nhông sên dĩa, bố thắng, acquy]",Bugi
Đèn pin siêu sáng,"[Đèn pin, đèn đội đầu, đèn sạc, đèn năng lượng mặt trời, pin]",Đèn pin
Dao đa năng Leatherman,"[Dao gập, dao đa năng, kìm đa năng, dụng cụ sinh tồn, Leatherman]",Dao đa năng
Bật lửa Zippo,"[Bật lửa, hộp quẹt, gas, đá lửa, Zippo]",Bật lửa
Thảm tập yoga,"[Thảm tập, gạch yoga, dây kháng lực, bóng tập, con lăn]",Thảm tập yoga
Tạ tay 5kg,"[Tạ đơn, tạ đòn, tạ ấm, dây nhảy, xà đơn]",Tạ đơn
Giày chạy bộ Asics,"[Giày chạy bộ, giày cầu lông, giày bóng rổ, giày đá bóng, giày tennis]",Giày chạy bộ
Vợt cầu lông Yonex,"[Vợt cầu lông, vợt tennis, quả cầu lông, cước vợt, quấn cán]",Vợt cầu lông
Bóng rổ Molten,"[Bóng rổ, bóng đá, bóng chuyền, bơm bóng, lưới rổ]",Bóng rổ
Đàn guitar Yamaha,"[Đàn guitar acoustic, đàn guitar classic, đàn ukulele, đàn organ, piano điện]",Đàn guitar acoustic
Sáo trúc,"[Sáo, tiêu, kèn harmonica, đàn tranh, đàn bầu]",Sáo
Tranh sơn dầu,"[Tranh sơn mài, tranh sơn dầu, tranh thêu, tranh đính đá, khung tranh]",Tranh sơn dầu
Màu nước Pentel,"[Màu sáp, màu chì, màu nước, cọ vẽ, giấy vẽ]",Màu nước
Đất nặn Play-Doh,"[Đất nặn, cát động lực, slime, bộ đồ chơi bác sĩ, bộ đồ chơi nấu ăn]",Đất nặn
Thức ăn cho chó Royal Canin,"[Thức ăn hạt, pate, snack, xương gặm, sữa cho chó]",Thức ăn hạt
Thức ăn cho mèo Whiskas,"[Thức ăn hạt, pate, súp thưởng, cát vệ sinh, sữa cho mèo]",Thức ăn hạt
Cát vệ sinh cho mèo,"[Cát đất sét, cát thủy tinh, cát đậu nành, nhà vệ sinh cho mèo, xẻng hót phân]",Cát vệ sinh cho mèo
Lồng chim,"[Lồng hamster, lồng thỏ, lồng chim, bể cá, phụ kiện]",Lồng chim
Bể cá mini,"[Bể cá, máy lọc, đèn, sưởi, thức ăn cho cá]",Bể cá
Hạt giống rau mầm,"[Hạt giống hoa, hạt giống rau, đất trồng, phân bón, chậu cây]",Hạt giống rau
Phân bón hữu cơ,"[Phân hóa học, phân hữu cơ, phân trùn quế, giá thể, thuốc trừ sâu]",Phân hữu cơ
Chậu cây cảnh,"[Chậu nhựa, chậu sứ, chậu xi măng, đôn kê chậu, đĩa lót chậu]",Chậu cây cảnh
Thuốc diệt muỗi Jumbo,"[Bình xịt côn trùng, nhang muỗi, vợt muỗi, đèn bắt muỗi, thuốc diệt muỗi]",Thuốc diệt muỗi
Nước lau sàn Gift,"[Nước lau kính, nước lau sàn, nước tẩy bồn cầu, nước thông cống, sáp thơm]",Nước lau sàn
Tẩy bồn cầu Vim,"[Tẩy bồn cầu, tẩy lồng máy giặt, tẩy cặn canxi, viên thả bồn cầu, Vim]",Tẩy bồn cầu
Sáp thơm Glade,"[Sáp thơm, xịt phòng, tinh dầu, nến thơm, túi thơm]",Sáp thơm
