tên hàng hóa,danh mục,kết quả mong muốn
Bao rác đen,"[Túi rác, bao rác, thùng rác, chổi, ki hốt rác]",Bao rác
Chổi lau nhà 360 độ,"[Chổi quét nhà, chổi lau nhà, cây lau kính, xô nước, bông lau thay thế]",Chổi lau nhà
Thớt gỗ,"[Thớt nhựa, thớt gỗ, thớt tre, thớt kháng khuẩn, dao]",Thớt gỗ
Dao làm bếp,"[Dao gọt, dao thái, dao chặt, dao phay, kéo]",Dao thái
Nồi inox Sunhouse,"[Nồi nhôm, nồi inox, nồi gang, bộ nồi, chảo]",Nồi inox
Chảo chống dính Tefal,"[Chảo gang, chảo đá, chảo chống dính, chảo sâu lòng, chảo Tefal]",Chảo chống dính
Bát ăn cơm Bát Tràng,"[Bát, đĩa, tô, chén, ly, gốm sứ Bát Tràng]",Bát ăn cơm
Đũa gỗ,"[Đũa tre, đũa gỗ, đũa inox, thìa, dĩa]",Đũa gỗ
Ấm siêu tốc Philips,"[Ấm đun nước, ấm siêu tốc, bình thủy, phích nước, Philips]",Ấm siêu tốc
Máy xay sinh tố Panasonic,"[Máy xay sinh tố, máy ép trái cây, máy xay thịt, máy đánh trứng, Panasonic]",Máy xay sinh tố
Bình giữ nhiệt Lock&Lock,"[Bình giữ nhiệt, ly giữ nhiệt, hộp cơm giữ nhiệt, bình nước, Lock&Lock]",Bình giữ nhiệt
Hộp nhựa đựng thực phẩm,"[Hộp nhựa, hộp thủy tinh, túi zip, màng bọc thực phẩm, hộp đựng thực phẩm]",Hộp nhựa
Màng bọc thực phẩm Ringo,"[Giấy nến, giấy bạc, màng bọc thực phẩm, túi đựng rác, Ringo]",Màng bọc thực phẩm
Tăm tre,"[Tăm, chỉ nha khoa, tăm nước, tăm bông, bàn chải kẽ răng]",Tăm tre
Nến sinh nhật,"[Nến thơm, nến cây, nến tealight, nến sinh nhật, pháo bông]",Nến sinh nhật
Bài Tây,"[Cờ vua, cờ tướng, cờ caro, bài Tây, domino]",Bài Tây
Sim 4G Mobifone,"[Sim Viettel, Sim Mobifone, Sim Vinaphone, Sim 4G, thẻ cào]",Sim Mobifone
Thẻ cào điện thoại 100k,"[Thẻ cào Viettel, thẻ cào Mobifone, thẻ cào Vinaphone, thẻ game, thẻ 100k]",Thẻ cào Mobifone
Voucher Vinpearl,"[Voucher du lịch, voucher ăn uống, voucher spa, voucher khách sạn, voucher Vinpearl]",Voucher khách sạn
Vé xem phim CGV,"[Vé xem phim, bắp nước, voucher CGV, vé Lotte, vé BHD]",Vé xem phim
Túi giặt quần áo,"[Móc quần áo, kẹp quần áo, túi giặt, giỏ đựng đồ, dây phơi]",Túi giặt
Giấy thấm dầu,"[Giấy thấm dầu cho da mặt, giấy thấm dầu thực phẩm, giấy nến, giấy ăn, phim thấm dầu]",Giấy thấm dầu thực phẩm
Ống hút tre,"[Ống hút nhựa, ống hút giấy, ống hút tre, ống hút inox, cọ rửa ống hút]",Ống hút tre
Bàn chải đánh răng điện Oral-B,"[Bàn chải thường, bàn chải điện, đầu bàn chải thay thế, tăm nước, Oral-B]",Bàn chải điện
Thuốc nhỏ mắt V.Rohto,"[Nước muối sinh lý, thuốc nhỏ mắt, thuốc nhỏ mũi, thuốc nhỏ tai, V.Rohto]",Thuốc nhỏ mắt
Kính bơi Phoenix,"[Kính bơi, mũ bơi, nút tai, kẹp mũi, quần bơi]",Kính bơi
Áo phao cứu sinh,"[Áo phao, phao bơi, thuyền hơi, mái chèo, bơm]",Áo phao
Ván trượt,"[Ván trượt, giày patin, xe scooter, mũ bảo hiểm, đồ bảo hộ]",Ván trượt
Găng tay tập gym,"[Đai lưng, băng quấn cổ tay, găng tay tập gym, bình lắc, shaker]",Găng tay tập gym
Thảm yoga TPE,"[Thảm PVC, thảm NBR, thảm TPE, thảm cao su tự nhiên, khăn trải thảm]",Thảm TPE
Băng keo cá nhân,"[Urgo, băng keo cá nhân, gạc, băng cuộn, cồn sát trùng]",Băng keo cá nhân
Dầu cù là,"[Cao sao vàng, dầu gió, dầu cù là, dầu tràm, dầu nóng]",Dầu cù là
Son gió Moodmatcher,"[Son dưỡng, son màu, son bóng, son gió, son tint]",Son gió
Phấn rôm Johnson's Baby,"[Phấn rôm, kem hăm, dầu massage, sữa tắm gội, Johnson's Baby]",Phấn rôm
Đèn xông tinh dầu,"[Đèn xông, máy khuếch tán, tinh dầu, nến thơm, đèn ngủ]",Đèn xông
Tinh dầu sả chanh,"[Tinh dầu tràm, tinh dầu bưởi, tinh dầu sả chanh, tinh dầu oải hương, tinh dầu bạc hà]",Tinh dầu sả chanh
Thuốc nhuộm tóc L'oreal,"[Thuốc nhuộm tóc, thuốc tẩy tóc, dầu gội nhuộm, lược nhuộm, L'oreal]",Thuốc nhuộm tóc
Keo vuốt tóc Gatsby,"[Sáp vuốt tóc, gel vuốt tóc, keo vuốt tóc, pomade, xịt tạo kiểu]",Keo vuốt tóc
Sữa ong chúa,"[Mật ong, phấn hoa, sữa ong chúa, keo ong, thực phẩm chức năng]",Sữa ong chúa
Yến sào thô,"[Yến tinh chế, yến thô, yến hũ, nước yến, đường phèn]",Yến thô
Đông trùng hạ thảo,"[Nhân sâm, linh chi, đông trùng hạ thảo, nấm, thảo dược]",Đông trùng hạ thảo
Nhụy hoa nghệ tây Saffron,"[Saffron, trà hoa, kỷ tử, táo đỏ, long nhãn]",Saffron
Hạt chia Úc,"[Hạt chia, hạt é, hạt lanh, hạt diêm mạch, yến mạch]",Hạt chia
Yến mạch Quaker,"[Ngũ cốc, yến mạch, granola, muesli, Quaker]",Yến mạch
Hạt điều rang muối,"[Hạt điều, hạnh nhân, óc chó, macca, hồ đào]",Hạt điều
Bò khô một nắng,"[Khô gà, khô bò, khô heo, khô mực, bò một nắng]",Khô bò
Mực khô,"[Cá khô, tôm khô, mực khô, ruốc, nước mắm]",Mực khô
Bánh tráng trộn,"[Bánh tráng nướng, bánh tráng trộn, bánh tráng cuốn, da heo, muối tôm]",Bánh tráng trộn
Cơm cháy chà bông,"[Cơm cháy, snack gạo, bánh gạo, chà bông, mỡ hành]",Cơm cháy
Muối tôm Tây Ninh,"[Muối ớt, muối tiêu, muối tôm, muối hảo hảo, gia vị]",Muối tôm
Nước rửa lens,"[Kính áp tròng, nước ngâm lens, thuốc nhỏ mắt, hộp đựng lens, nước rửa lens]",Nước ngâm lens
Dụng cụ cắt móng tay,"[Bấm móng tay, kềm cắt da, dũa móng, cây lấy ráy tai, bộ dụng cụ làm móng]",Bấm móng tay
Gương mini,"[Gương soi, gương để bàn, gương treo tường, gương mini, lược]",Gương mini
Lược chải tóc,"[Lược gỡ rối, lược tròn, lược bán nguyệt, lược điện, lược chải tóc]",Lược chải tóc
Dây buộc tóc,"[Kẹp tóc, băng đô, dây buộc tóc, scrunchie, trâm cài]",Dây buộc tóc
Kẹp tăm,"[Kẹp càng cua, kẹp mỏ vịt, kẹp tăm, chun buộc tóc, kẹp tóc mái]",Kẹp tăm
Giấy A4 Double A,"[Giấy in ảnh, giấy A4, giấy A3, giấy note, bìa cứng]",Giấy A4
Bút xóa Plus,"[Bút xóa nước, bút xóa kéo, gôm, tẩy, bút xóa Plus]",Bút xóa kéo
File kẹp tài liệu,"[Bìa lá, bìa còng, file kẹp, cặp tài liệu, túi clear bag]",File kẹp
Kéo văn phòng,"[Dao rọc giấy, kéo, băng keo, hồ dán, dập ghim]",Kéo
Dập ghim Deli,"[Ghim, dập ghim, kẹp bướm, gỡ ghim, Deli]",Dập ghim
Băng keo trong,"[Băng keo hai mặt, băng keo trong, băng keo giấy, băng keo điện, băng keo simili]",Băng keo trong
Hồ khô,"[Hồ nước, hồ khô, keo dán, súng bắn keo, keo 502]",Hồ khô
Sổ lò xo,"[Sổ bìa da, sổ lò xo, sổ caro, sổ kế hoạch, vở]",Sổ lò xo
Nhãn vở,"[Bao sách, nhãn vở, thời khóa biểu, bút chì, thước kẻ]",Nhãn vở
Thước kẻ 20cm,"[Thước kẻ, compa, eke, thước đo độ, bộ dụng cụ học tập]",Thước kẻ
Hộp bút,"[Hộp bút vải, hộp bút nhựa, hộp bút kim loại, túi đựng bút, bóp viết]",Hộp bút
Cặp sách Miti,"[Cặp sách, balo chống gù, túi xách đi học, Miti, cặp học sinh]",Cặp sách
Mực bút máy Queen,"[Bút máy, mực, ống mực, ruột gà, Queen]",Mực
Bảng con,"[Bảng trắng, bảng đen, bảng con, bút lông bảng, phấn]",Bảng con
Phấn không bụi Mungyo,"[Phấn trắng, phấn màu, phấn không bụi, khăn lau bảng, Mungyo]",Phấn không bụi
Đèn học chống cận,"[Đèn bàn, đèn học, đèn LED, đèn chống cận, đèn kẹp]",Đèn học chống cận
Ghế xoay văn phòng Hòa Phát,"[Ghế chân quỳ, ghế xoay, ghế giám đốc, ghế công thái học, Hòa Phát]",Ghế xoay
Bàn làm việc,"[Bàn học, bàn làm việc, bàn máy tính, bàn họp, kệ sách]",Bàn làm việc
Kệ sách treo tường,"[Kệ sách, tủ tài liệu, giá sách, kệ trang trí, kệ treo tường]",Kệ sách
Tủ quần áo,"[Tủ nhựa, tủ gỗ, tủ vải, tủ âm tường, tủ quần áo]",Tủ quần áo
Giường ngủ,"[Giường đơn, giường đôi, giường tầng, giường gấp, nệm]",Giường ngủ
Nệm Kim Đan,"[Nệm cao su, nệm lò xo, nệm bông ép, nệm foam, Kim Đan]",Nệm cao su
Gối cao su Liên Á,"[Gối gòn, gối lông vũ, gối cao su, gối ôm, gối tựa lưng]",Gối cao su
Chăn hè Everon,"[Chăn đông, chăn hè, ga giường, vỏ gối, bộ chăn ga gối]",Chăn hè
Màn chống muỗi,"[Màn tuyn, màn chụp, màn khung, rèm cửa, màn chống muỗi]",Màn chống muỗi
Rèm cửa sổ,"[Rèm vải, rèm cuốn, rèm sáo, rèm roman, rèm cửa]",Rèm cửa
Thảm trải sàn,"[Thảm lông, thảm nỉ, thảm chùi chân, thảm yoga, thảm trải sàn]",Thảm trải sàn
Dép đi trong nhà,"[Dép xốp, dép bông, dép nhựa, dép đi trong nhà, dép văn phòng]",Dép đi trong nhà
Giấy dán tường,"[Sơn nước, giấy dán tường, xốp dán tường, decal, tranh dán tường]",Giấy dán tường
Tranh treo tường,"[Tranh sơn dầu, tranh canvas, tranh đồng hồ, tranh treo tường, poster]",Tranh treo tường
Đồng hồ treo tường,"[Đồng hồ báo thức, đồng hồ để bàn, đồng hồ treo tường, đồng hồ quả lắc, đồng hồ điện tử]",Đồng hồ treo tường
Lọ hoa Bát Tràng,"[Lọ hoa thủy tinh, lọ hoa sứ, lọ hoa gốm, lọ hoa Bát Tràng, hoa giả]",Lọ hoa gốm
Cây cảnh để bàn,"[Sen đá, xương rồng, cây kim tiền, cây lưỡi hổ, cây cảnh mini]",Cây cảnh để bàn
Album ảnh,"[Khung ảnh, album ảnh, sổ lưu bút, thiệp, sticker]",Album ảnh
Thiệp chúc mừng,"[Thiệp sinh nhật, thiệp cưới, thiệp giáng sinh, thiệp chúc mừng, giấy gói quà]",Thiệp chúc mừng
Giấy gói quà,"[Túi quà, hộp quà, giấy gói quà, nơ, ruy băng]",Giấy gói quà
Bóng bay,"[Bóng bay hidro, bóng bay heli, bóng bay trang trí, bơm bóng bay, bóng bay sinh nhật]",Bóng bay
Ruy băng,"[Dây thừng, dây cói, ruy băng, nơ, dây kim tuyến]",Ruy băng
Thuốc xịt chuột,"[Bẫy chuột, keo dính chuột, thuốc diệt chuột, thuốc xịt chuột, máy đuổi chuột]",Thuốc xịt chuột
Bột thông cống,"[Nước thông cống, bột thông cống, dây thông cống, thụt bồn cầu, men vi sinh]",Bột thông cống
Bùi nhùi thép,"[Cọ xoong, giẻ rửa bát, bùi nhùi, miếng chùi rửa, bọt biển]",Bùi nhùi
Giẻ lau đa năng,"[Khăn lau bếp, khăn lau tay, giẻ lau sàn, giẻ lau đa năng, khăn microfiber]",Giẻ lau đa năng
Xô nhựa,"[Thau, xô, chậu, thùng, can nhựa]",Xô
Móc quần áo,"[Móc nhựa, móc gỗ, móc nhôm, móc treo quần áo, kẹp phơi]",Móc quần áo
Kẹp phơi đồ,"[Dây phơi, sào phơi, kẹp phơi, giàn phơi thông minh, kẹp quần áo]",Kẹp phơi
Thùng rác thông minh,"[Thùng rác nhựa, thùng rác inox, thùng rác văn phòng, thùng rác thông minh, túi rác]",Thùng rác thông minh
Túi hút chân không,"[Túi zip, túi hút chân không, máy hút chân không, túi đựng quần áo, túi du lịch]",Túi hút chân không
Cân sức khỏe điện tử,"[Cân cơ học, cân điện tử, cân sức khỏe, cân phân tích cơ thể, cân nhà bếp]",Cân sức khỏe
Nước hoa ô tô,"[Sáp thơm ô tô, tinh dầu treo xe, nước hoa ô tô, máy lọc không khí ô tô, túi thơm]",Nước hoa ô tô
Thảm lót sàn ô tô,"[Thảm taplo, thảm lót sàn, bọc vô lăng, rèm che nắng, camera hành trình]",Thảm lót sàn
Camera hành trình Vietmap,"[Camera lùi, camera 360, camera hành trình, thẻ nhớ, Vietmap]",Camera hành trình
Bơm lốp ô tô,"[Bơm lốp, máy hút bụi ô tô, đồng hồ đo áp suất lốp, bộ vá lốp, kích xe]",Bơm lốp
Nước rửa kính ô tô,"[Nước làm mát, dầu phanh, nước rửa kính, dung dịch chăm sóc xe, khăn lau xe]",Nước rửa kính
Khăn lau xe microfiber,"[Găng tay rửa xe, bọt biển, khăn lau xe, chổi lau nóc xe, khăn microfiber]",Khăn lau xe
Xi đánh bóng xe Cana,"[Xi đánh bóng, sáp wax, dung dịch phủ ceramic, máy đánh bóng, Cana]",Xi đánh bóng
Áo trùm xe máy,"[Bạt phủ xe, áo trùm xe, khóa xe, mũ bảo hiểm, kính]",Áo trùm xe
Yếm xe vespa,"[Phụ tùng xe máy, đồ chơi xe, yếm xe, mặt nạ, ốp pô]",Yếm xe
Gác baga xe đạp,"[Yên xe, ghi đông, pedan, gác baga, chắn bùn]",Gác baga
Đèn hậu xe đạp,"[Đèn pha, đèn hậu, chuông, gọng bình nước, đồng hồ tốc độ]",Đèn hậu
Khóa dây xe đạp,"[Khóa số, khóa chìa, khóa dây, khóa chữ U, khóa gập]",Khóa dây
Mũ bảo hiểm xe đạp,"[Mũ bảo hiểm, găng tay, kính, đồ bảo hộ, quần áo xe đạp]",Mũ bảo hiểm
Quần áo đi xe đạp,"[Quần áo, găng tay, giày, mũ, kính]",Quần áo
Giày leo núi,"[Giày trekking, giày hiking, giày leo núi, tất, gậy leo núi]",Giày leo núi
Gậy trekking,"[Balo leo núi, gậy trekking, lều, túi ngủ, đèn pin]",Gậy trekking
Lều cắm trại 2 người,"[Lều 2 người, lều 4 người, lều tự bung, tấm lót lều, cọc lều]",Lều 2 người
Võng du lịch,"[Võng, dây dù, tăng, bạt, ghế xếp]",Võng
Ghế câu cá,"[Cần câu, máy câu, dây câu, mồi câu, ghế câu]",Ghế câu
Áo khoác chống nắng,"[Áo khoác, áo chống nắng, váy chống nắng, găng tay chống nắng, khẩu trang]",Áo chống nắng
Kem chống hăm Bepanthen,"[Phấn rôm, kem chống hăm, dầu tràm, thuốc trị rôm sảy, Bepanthen]",Kem chống hăm
Siro ăn ngon cho bé,"[Vitamin D3, Canxi, Siro ho, Siro ăn ngon, men vi sinh]",Siro ăn ngon
Men vi sinh BioGaia,"[Men vi sinh, men tiêu hóa, thuốc trị tiêu chảy, thuốc trị táo bón, BioGaia]",Men vi sinh
Oresol,"[Thuốc hạ sốt, oresol, men vi sinh, thuốc đau bụng, cặp nhiệt độ]",Oresol
Dầu cá Omega 3,"[Dầu cá, Omega 3-6-9, dầu gấc, dầu hoa anh thảo, bổ não]",Dầu cá
Collagen Shiseido,"[Collagen bột, collagen nước, collagen viên, nhau thai cừu, Shiseido]",Collagen nước
Nhau thai cừu Úc,"[Sữa ong chúa, nhau thai cừu, tinh chất hàu, vitamin E, thực phẩm chức năng]",Nhau thai cừu
Tinh chất hàu Oyster Plus,"[Bổ thận, tráng dương, tăng cường sinh lý, tinh chất hàu, Oyster Plus]",Tinh chất hàu
Glucosamine,"[Bổ khớp, canxi, vitamin D, Glucosamine, sụn vi cá mập]",Glucosamine
Sụn vi cá mập,"[Glucosamine, sụn vi cá mập, JEX, thuốc xương khớp, thực phẩm chức năng]",Sụn vi cá mập
Hoạt huyết dưỡng não,"[Bổ não, tăng cường trí nhớ, hoạt huyết dưỡng não, Ginkgo biloba, tuần hoàn não]",Hoạt huyết dưỡng não
Nước hoa hồng diếp cá,"[Toner, nước hoa hồng, lotion, nước thần, diếp cá]",Nước hoa hồng
Serum trà xanh,"[Serum vitamin C, serum B5, serum HA, serum trà xanh, serum trị mụn]",Serum trà xanh
Kem ốc sên,"[Kem dưỡng da, kem trị nám, kem ốc sên, kem chống lão hóa, mặt nạ]",Kem ốc sên
Mặt nạ tổ yến,"[Mặt nạ collagen, mặt nạ vàng, mặt nạ tổ yến, mặt nạ ngọc trai, mặt nạ giấy]",Mặt nạ tổ yến
Dầu dừa,"[Dầu oliu, dầu dừa, dầu gấc, dầu argan, dầu jojoba]",Dầu dừa
Bột trà xanh,"[Bột nghệ, bột yến mạch, bột trà xanh, bột cám gạo, bột đậu đỏ]",Bột trà xanh
Cám gạo,"[Bột cám gạo, sữa tươi không đường, mật ong, chanh, mặt nạ thiên nhiên]",Bột cám gạo
Nước vo gạo,"[Nước vo gạo, sữa rửa mặt, toner, dưỡng tóc, làm đẹp]",Nước vo gạo
Giấm táo,"[Giấm gạo, giấm táo, chanh, toner, trị mụn]",Giấm táo
Mật ong Manuka,"[Mật ong rừng, mật ong hoa nhãn, mật ong Manuka, phấn hoa, sữa ong chúa]",Mật ong Manuka
Tỏi đen,"[Tỏi, hành, gừng, nghệ, tỏi đen]",Tỏi đen
Rượu tỏi,"[Rượu gừng, rượu nghệ, rượu tỏi, rượu thuốc, xoa bóp]",Rượu tỏi
Chè vằng,"[Chè dây, chè vằng, lá sen, trà giảm cân, lợi sữa]",Chè vằng
Lá sen khô,"[Trà atiso, trà tim sen, lá sen, giảm cân, an thần]",Lá sen
Kim chi Hàn Quốc,"[Dưa muối, cà pháo, kim chi, dưa góp, hành muối]",Kim chi
Rong biển cháy tỏi,"[Rong biển ăn liền, rong biển cuộn cơm, rong biển cháy tỏi, snack rong biển, kimbap]",Rong biển cháy tỏi
Bánh gạo Tokbokki,"[Bánh gạo cay, bánh gạo lắc phô mai, tokbokki, chả cá, sốt tương ớt]",Tokbokki
Sốt tương ớt Gochujang,"[Tương đen, tương ớt, Gochujang, doenjang, ssamjang]",Gochujang
Dầu mè,"[Dầu ăn, dầu hào, dầu mè, xì dầu, giấm]",Dầu mè
Miến dong,"[Miến gạo, miến dong, miến khoai lang, bún, phở]",Miến dong
Bột năng,"[Bột gạo, bột nếp, bột năng, bột bắp, bột mì]",Bột năng
Nước cốt dừa,"[Sữa tươi, nước cốt dừa, sữa đặc, whipping cream, topping cream]",Nước cốt dừa
Vani,"[Hương vani, hương dâu, hương socola, bột quế, bột cacao]",Hương vani
Bột nở (baking powder),"[Baking soda, baking powder, men nở, bột nổi, phụ gia làm bánh]",Baking powder
Men nở (yeast),"[Bột nở, men nở, bột sourdough, phụ gia, làm bánh mì]",Men nở
Giấy nến (parchment paper),"[Giấy bạc, màng bọc thực phẩm, giấy nến, túi bắt kem, khuôn bánh]",Giấy nến
Khuôn làm bánh,"[Khuôn bánh mì, khuôn cupcake, khuôn tart, khuôn trung thu, khuôn làm bánh]",Khuôn làm bánh
Máy đánh trứng,"[Máy xay sinh tố, máy đánh trứng, máy nhồi bột, lò nướng, cân điện tử]",Máy đánh trứng
Lò nướng Sanaky,"[Lò vi sóng, lò nướng, nồi chiên không dầu, bếp nướng điện, Sanaky]",Lò nướng
Cân tiểu ly,"[Cân nhà bếp, cân tiểu ly, cân sức khỏe, cân điện tử, thìa đong]",Cân tiểu ly
Thìa đong,"[Cốc đong, thìa đong, cân, dụng cụ làm bánh, phới lồng]",Thìa đong
Phới lồng,"[Phới dẹt, phới lồng, cây vét bột, rây bột, chổi quét bơ]",Phới lồng