query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap,adaptive_bm25_pred,adaptive_bm25_score,adaptive_bm25_correct,adaptive_bm25_specificity,adaptive_bm25_overlap,optimized_bm25_pred,optimized_bm25_score,optimized_bm25_correct,optimized_bm25_bm25_score,optimized_bm25_overlap
iPhone 15 Pro Max 256GB Titan Tự Nhiên VNA,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.09417016804218292,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Samsung Galaxy S24 Ultra 5G 12GB/256GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Máy tính bảng,0.029761817306280136,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Xiaomi Redmi Note 13 Pro 8GB/128GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Máy tính bảng,0.02789979614317417,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
OPPO Reno10 5G 256GB Xanh Băng Tuyết,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.06360026448965073,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Realme C55 6GB/128GB Chính Hãng,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.05998077243566513,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Vivo V29e 5G 8GB/256GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Balo Laptop,0.03559836372733116,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Nokia 105 4G Pro 2 Sim,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thiết bị mạng & Wifi,0.03613598644733429,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Asus ROG Phone 7 Ultimate Gaming Phone,Điện thoại Smartphone,Laptop Gaming,0.036614008247852325,False,4.736198448394496,1,Laptop Gaming,0.036613840609788895,False,4.736198448394496,1,Laptop Gaming,0.036614008247852325,False,4.736198448394496,1,Laptop Gaming,0.036614008247852325,False,5.186146173340856,1
Google Pixel 7 Pro 128GB Quốc Tế,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.06871973723173141,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Samsung Galaxy Z Flip5 512GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.042768560349941254,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Laptop Dell Vostro 3510 i5-1135G7,Laptop văn phòng,Laptop văn phòng,0.05367502197623253,True,4.736198448394496,1,Laptop văn phòng,0.05367505922913551,True,4.736198448394496,1,Laptop văn phòng,0.05367502197623253,True,4.736198448394496,1,Laptop văn phòng,0.05367502197623253,True,3.5452275377731155,1
MacBook Air M1 2020 8GB/256GB Gold,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Balo Laptop,0.022747322916984558,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Laptop HP Pavilion 15 i5-1240P,Laptop văn phòng,Laptop văn phòng,0.043524205684661865,True,4.736198448394496,1,Laptop văn phòng,0.04352515935897827,True,4.736198448394496,1,Laptop văn phòng,0.043524205684661865,True,4.736198448394496,1,Laptop văn phòng,0.043524205684661865,True,3.5452275377731155,1
Asus Zenbook 14 OLED UX3402,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Máy tính bảng,0.03423606976866722,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Lenovo ThinkBook 14 G3 ACL,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Laptop văn phòng,0.05076082423329353,True,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Laptop Gaming MSI GF63 Thin 11SC,Laptop Gaming,Laptop Gaming,0.07337944954633713,True,4.736198448394496,2,Laptop Gaming,0.07337944954633713,True,4.736198448394496,2,Laptop Gaming,0.07337906211614609,True,4.736198448394496,2,Laptop Gaming,0.07337906211614609,True,9.335292597674693,2
Laptop Acer Nitro 5 Tiger i5-12500H,Laptop Gaming,Laptop văn phòng,0.032418642193078995,False,4.736198448394496,1,Laptop văn phòng,0.03241870552301407,False,4.736198448394496,1,Laptop văn phòng,0.032418642193078995,False,4.736198448394496,1,Laptop văn phòng,0.032418642193078995,False,3.5452275377731155,1
Asus TUF Gaming F15 FX506HF,Laptop Gaming,Laptop Gaming,0.022071244195103645,True,4.736198448394496,1,Thẻ nhớ & USB,0.05455983802676201,False,4.736198448394496,0,Laptop Gaming,0.022071244195103645,True,4.736198448394496,1,Laptop Gaming,0.022071244195103645,True,5.186146173340856,1
Lenovo Legion 5 15IAH7H,Laptop Gaming,Điện thoại Smartphone,0.0,False,0.0,0,Laptop văn phòng,0.03764853999018669,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Dell G15 5511 Gaming Laptop,Laptop Gaming,Laptop Gaming,0.032756347209215164,True,4.736198448394496,2,Laptop Gaming,0.03275585547089577,True,4.736198448394496,2,Laptop Gaming,0.032756347209215164,True,4.736198448394496,2,Laptop Gaming,0.032756347209215164,True,9.335292597674693,2
iPad Gen 9 10.2 inch WiFi 64GB,Máy tính bảng,Thiết bị mạng & Wifi,0.04003697261214256,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003650322556496,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003697261214256,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003697261214256,False,3.868254910468356,1
Samsung Galaxy Tab S9 Ultra,Máy tính bảng,Điện thoại Smartphone,0.0,False,0.0,0,Máy tính bảng,0.024214325472712517,True,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Xiaomi Pad 6 8GB/128GB,Máy tính bảng,Điện thoại Smartphone,0.0,False,0.0,0,Thẻ nhớ & USB,0.035069432109594345,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Lenovo Tab M10 Gen 3,Máy tính bảng,Điện thoại Smartphone,0.0,False,0.0,0,Máy tính bảng,0.03249789774417877,True,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
iPad Air 5 M1 WiFi 64GB,Máy tính bảng,Thiết bị mạng & Wifi,0.04834514856338501,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.048344630748033524,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04834514856338501,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04834514856338501,False,3.868254910468356,1
Apple Watch Series 9 GPS 41mm,Đồng hồ thông minh,Điện thoại Smartphone,0.0,False,0.0,0,Dép nam,0.023578239604830742,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Samsung Galaxy Watch 6 Classic 43mm,Đồng hồ thông minh,Điện thoại Smartphone,0.0,False,0.0,0,Mũ nón,0.02729984186589718,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Đồng hồ thông minh Garmin Forerunner 265,Đồng hồ thông minh,Đồng hồ thông minh,0.18872331082820892,True,4.736198448394496,4,Đồng hồ thông minh,0.18872331082820892,True,4.736198448394496,4,Đồng hồ thông minh,0.18872331082820892,True,4.736198448394496,4,Đồng hồ thông minh,0.18872331082820892,True,15.473019641873424,4
Huawei Watch GT 4 dây da,Đồng hồ thông minh,Tai nghe có dây,0.027165856212377548,False,4.736198448394496,1,Tai nghe có dây,0.02716565504670143,False,4.736198448394496,1,Tai nghe có dây,0.027165856212377548,False,4.736198448394496,1,Tai nghe có dây,0.027165856212377548,False,3.868254910468356,1
Xiaomi Redmi Watch 3 Active,Đồng hồ thông minh,Điện thoại Smartphone,0.0,False,0.0,0,Tai nghe Bluetooth,0.020319467410445213,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Tai nghe Bluetooth Apple AirPods Pro 2,Tai nghe Bluetooth,Tai nghe Bluetooth,0.1637372076511383,True,4.736198448394496,3,Tai nghe Bluetooth,0.1637372076511383,True,4.736198448394496,3,Tai nghe Bluetooth,0.16373735666275024,True,4.736198448394496,3,Tai nghe Bluetooth,0.16373735666275024,True,11.697022205763243,3
Tai nghe Samsung Galaxy Buds 2 Pro,Tai nghe Bluetooth,Tai nghe Bluetooth,0.0755281001329422,True,4.736198448394496,2,Tai nghe Bluetooth,0.07552844285964966,True,4.736198448394496,2,Tai nghe Bluetooth,0.0755281001329422,True,4.736198448394496,2,Tai nghe Bluetooth,0.0755281001329422,True,7.798014803842163,2
Tai nghe Sony WF-1000XM5 Chống ồn,Tai nghe Bluetooth,Tai nghe Bluetooth,0.03192958980798721,True,4.736198448394496,2,Loa vi tính,0.06866054981946945,False,4.736198448394496,0,Tai nghe Bluetooth,0.03192958980798721,True,4.736198448394496,2,Tai nghe Bluetooth,0.03192958980798721,True,7.798014803842163,2
Tai nghe Marshall Minor III True Wireless,Tai nghe Bluetooth,Tai nghe Bluetooth,0.0960005670785904,True,4.736198448394496,2,Tai nghe Bluetooth,0.09599999338388443,True,4.736198448394496,2,Tai nghe Bluetooth,0.0960005670785904,True,4.736198448394496,2,Tai nghe Bluetooth,0.0960005670785904,True,7.798014803842163,2
Tai nghe Bluetooth Baseus Bowie E3,Tai nghe Bluetooth,Tai nghe Bluetooth,0.12470028549432755,True,4.736198448394496,3,Tai nghe Bluetooth,0.12470028549432755,True,4.736198448394496,3,Tai nghe Bluetooth,0.12470132857561111,True,4.736198448394496,3,Tai nghe Bluetooth,0.12470132857561111,True,11.697022205763243,3
Tai nghe chụp tai Sony WH-CH520,Tai nghe Bluetooth,Tai nghe Bluetooth,0.0463411882519722,True,4.736198448394496,2,Tai nghe Bluetooth,0.04634135216474533,True,4.736198448394496,2,Tai nghe Bluetooth,0.0463411882519722,True,4.736198448394496,2,Tai nghe Bluetooth,0.0463411882519722,True,11.697022205763243,2
Tai nghe có dây JBL C150SI,Tai nghe có dây,Tai nghe có dây,0.5426552891731262,True,4.736198448394496,4,Tai nghe có dây,0.5426552891731262,True,4.736198448394496,4,Tai nghe có dây,0.5426545739173889,True,4.736198448394496,4,Tai nghe có dây,0.5426545739173889,True,14.543718037937754,4
Tai nghe in-ear Sony MDR-EX155AP,Tai nghe có dây,Tai nghe Bluetooth,0.030458964407444,False,4.736198448394496,2,Tai nghe Bluetooth,0.030459072440862656,False,4.736198448394496,2,Tai nghe Bluetooth,0.030458964407444,False,4.736198448394496,2,Tai nghe Bluetooth,0.030458964407444,False,7.798014803842163,2
Loa Bluetooth JBL Flip 6 Chống nước,Loa Bluetooth,Loa Bluetooth,0.12552766501903534,True,4.736198448394496,2,Loa Bluetooth,0.12552766501903534,True,4.736198448394496,2,Loa Bluetooth,0.12552861869335175,True,4.736198448394496,2,Loa Bluetooth,0.12552861869335175,True,9.126383256231682,2
Loa Marshall Emberton II Cream,Loa Bluetooth,Loa vi tính,0.02607898972928524,False,4.736198448394496,1,Dầu gội & Dầu xả,0.03740643709897995,False,4.736198448394496,0,Loa vi tính,0.02607898972928524,False,4.736198448394496,1,Loa vi tính,0.02607898972928524,False,3.8990074019210814,1
Loa Harman Kardon Onyx Studio 7,Loa Bluetooth,Loa Bluetooth,0.08916854113340378,True,4.736198448394496,1,Tivi,0.10609588772058487,False,4.736198448394496,0,Loa Bluetooth,0.08916854113340378,True,4.736198448394496,1,Loa Bluetooth,0.08916854113340378,True,4.563191628115841,1
Loa vi tính Logitech Z213 2.1,Loa vi tính,Loa vi tính,0.35662850737571716,True,4.736198448394496,3,Loa vi tính,0.35662850737571716,True,4.736198448394496,3,Loa vi tính,0.3566269874572754,True,4.736198448394496,3,Loa vi tính,0.3566269874572754,True,11.07660371809818,3
Loa Soundbar Sony HT-S20R 5.1,Loa vi tính,Loa Bluetooth,0.040728725492954254,False,4.736198448394496,1,Loa Bluetooth,0.04072842374444008,False,4.736198448394496,1,Loa Bluetooth,0.040728725492954254,False,4.736198448394496,1,Loa Bluetooth,0.040728725492954254,False,4.563191628115841,1
Chuột không dây Logitech M331 Silent,Chuột máy tính,Chuột máy tính,0.037883076816797256,True,4.736198448394496,1,Bàn phím cơ,0.04654679074883461,False,4.736198448394496,0,Chuột máy tính,0.037883076816797256,True,4.736198448394496,1,Chuột máy tính,0.037883076816797256,True,4.431289317921971,1
Chuột Gaming Logitech G102 Lightsync,Chuột máy tính,Chuột máy tính,0.026903316378593445,True,4.736198448394496,1,Tai nghe Bluetooth,0.03297113627195358,False,4.736198448394496,0,Chuột máy tính,0.026903316378593445,True,4.736198448394496,1,Chuột máy tính,0.026903316378593445,True,4.431289317921971,1
Chuột Bluetooth Apple Magic Mouse 2,Chuột máy tính,Chuột máy tính,0.026370860636234283,True,4.736198448394496,1,Chuột máy tính,0.026370910927653313,True,4.736198448394496,1,Chuột máy tính,0.026370860636234283,True,4.736198448394496,1,Chuột máy tính,0.026370860636234283,True,4.431289317921971,1
Chuột Razer DeathAdder Essential,Chuột máy tính,Chuột máy tính,0.05116411671042442,True,4.736198448394496,1,Thẻ nhớ & USB,0.059957411140203476,False,4.736198448394496,0,Chuột máy tính,0.05116411671042442,True,4.736198448394496,1,Chuột máy tính,0.05116411671042442,True,4.431289317921971,1
Bàn phím cơ Keychron K2 Pro Nhôm LED RGB,Bàn phím cơ,Bàn phím cơ,0.10903172194957733,True,4.736198448394496,3,Bàn phím cơ,0.10903172194957733,True,4.736198448394496,3,Bàn phím cơ,0.10903172194957733,True,4.736198448394496,3,Bàn phím cơ,0.10903172194957733,True,13.293867953765913,3
Bàn phím cơ Akko 3087 v2 Monet's Pond,Bàn phím cơ,Bàn phím cơ,0.19833925366401672,True,4.736198448394496,3,Bàn phím cơ,0.19833925366401672,True,4.736198448394496,3,Bàn phím cơ,0.19833925366401672,True,4.736198448394496,3,Bàn phím cơ,0.19833925366401672,True,13.293867953765913,3
Bàn phím cơ Logitech G Pro X TKL,Bàn phím cơ,Bàn phím cơ,0.19399234652519226,True,4.736198448394496,3,Bàn phím cơ,0.19399234652519226,True,4.736198448394496,3,Bàn phím cơ,0.19399234652519226,True,4.736198448394496,3,Bàn phím cơ,0.19399234652519226,True,13.293867953765913,3
Bàn phím cơ DareU EK87,Bàn phím cơ,Bàn phím cơ,0.15909387171268463,True,4.736198448394496,3,Bàn phím cơ,0.15909387171268463,True,4.736198448394496,3,Bàn phím cơ,0.15909387171268463,True,4.736198448394496,3,Bàn phím cơ,0.15909387171268463,True,13.293867953765913,3
Pin sạc dự phòng Anker 325 PowerCore 20000mAh,Sạc dự phòng,Sạc dự phòng,0.18501226603984833,True,4.736198448394496,3,Sạc dự phòng,0.18501096963882446,True,4.736198448394496,3,Sạc dự phòng,0.18501226603984833,True,4.736198448394496,3,Sạc dự phòng,0.18501226603984833,True,12.229304121764134,3
Sạc dự phòng Samsung 10000mAh 25W,Sạc dự phòng,Sạc dự phòng,0.25363075733184814,True,4.736198448394496,3,Sạc dự phòng,0.25363075733184814,True,4.736198448394496,3,Sạc dự phòng,0.25363436341285706,True,4.736198448394496,3,Sạc dự phòng,0.25363436341285706,True,12.229304121764134,3
Sạc dự phòng Xiaomi Gen 3 20000mAh 50W,Sạc dự phòng,Sạc dự phòng,0.2934108376502991,True,4.736198448394496,3,Sạc dự phòng,0.2934108376502991,True,4.736198448394496,3,Sạc dự phòng,0.2934117913246155,True,4.736198448394496,3,Sạc dự phòng,0.2934117913246155,True,12.229304121764134,3
Sạc dự phòng Energizer 10000mAh UE10054,Sạc dự phòng,Sạc dự phòng,0.36677175760269165,True,4.736198448394496,3,Sạc dự phòng,0.36677175760269165,True,4.736198448394496,3,Sạc dự phòng,0.36677688360214233,True,4.736198448394496,3,Sạc dự phòng,0.36677688360214233,True,12.229304121764134,3
Củ sạc nhanh Apple 20W USB-C Chính hãng,Cáp sạc & Củ sạc,Cáp sạc & Củ sạc,0.13740402460098267,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.1374029964208603,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.13740402460098267,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.13740402460098267,True,8.882229767011584,2
Dây cáp sạc Baseus Type-C to Lightning 20W,Cáp sạc & Củ sạc,Cáp sạc & Củ sạc,0.08318974822759628,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.08318988233804703,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.08318974822759628,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.08318974822759628,True,8.882229767011584,2
Cáp sạc Anker PowerLine III Flow USB-C to C,Cáp sạc & Củ sạc,Cáp sạc & Củ sạc,0.13375362753868103,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.13375328481197357,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.13375362753868103,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.13375362753868103,True,8.882229767011584,2
Củ sạc Ugreen GaN 65W 3 cổng,Cáp sạc & Củ sạc,Cáp sạc & Củ sạc,0.17471300065517426,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.17471423745155334,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.17471300065517426,True,4.736198448394496,2,Cáp sạc & Củ sạc,0.17471300065517426,True,8.882229767011584,2
Ốp lưng iPhone 15 Pro Max MagSafe Clear Case,Ốp lưng & Bao da,Ốp lưng & Bao da,0.13414216041564941,True,4.736198448394496,2,Ốp lưng & Bao da,0.1341407299041748,True,4.736198448394496,2,Ốp lưng & Bao da,0.13414216041564941,True,4.736198448394496,2,Ốp lưng & Bao da,0.13414216041564941,True,7.271859018968877,2
Bao da Samsung Galaxy Z Fold 5 kèm bút S-Pen,Ốp lưng & Bao da,Ốp lưng & Bao da,0.09195304661989212,True,4.736198448394496,2,Ốp lưng & Bao da,0.0919547975063324,True,4.736198448394496,2,Ốp lưng & Bao da,0.09195304661989212,True,4.736198448394496,2,Ốp lưng & Bao da,0.09195304661989212,True,6.730270174442433,2
Ốp lưng chống sốc UAG Pathfinder cho iPhone 14,Ốp lưng & Bao da,Ốp lưng & Bao da,0.0935174748301506,True,4.736198448394496,2,Ốp lưng & Bao da,0.0935165137052536,True,4.736198448394496,2,Ốp lưng & Bao da,0.0935174748301506,True,4.736198448394496,2,Ốp lưng & Bao da,0.0935174748301506,True,7.271859018968877,2
Ốp lưng Silicon dẻo trong suốt Redmi Note 12,Ốp lưng & Bao da,Ốp lưng & Bao da,0.160028874874115,True,4.736198448394496,2,Ốp lưng & Bao da,0.16002939641475677,True,4.736198448394496,2,Ốp lưng & Bao da,0.160028874874115,True,4.736198448394496,2,Ốp lưng & Bao da,0.160028874874115,True,7.271859018968877,2
Kính cường lực Kingkong iPhone 13/13 Pro,Kính cường lực,Kính cường lực,0.4284575581550598,True,4.736198448394496,3,Kính cường lực,0.4284575581550598,True,4.736198448394496,3,Kính cường lực,0.42846599221229553,True,4.736198448394496,3,Kính cường lực,0.42846599221229553,True,12.761586037765023,3
Miếng dán cường lực màn hình Samsung S23 Ultra,Kính cường lực,Kính cường lực,0.0775732472538948,True,4.736198448394496,2,Kính cường lực,0.07757380604743958,True,4.736198448394496,2,Kính cường lực,0.0775732472538948,True,4.736198448394496,2,Kính cường lực,0.0775732472538948,True,8.862578635843942,2
Cường lực Nillkin H+ Pro cho Xiaomi 13,Kính cường lực,Kính cường lực,0.031903259456157684,True,4.736198448394496,2,Thẻ nhớ & USB,0.0555696003139019,False,4.736198448394496,0,Kính cường lực,0.031903259456157684,True,4.736198448394496,2,Kính cường lực,0.031903259456157684,True,8.862578635843942,2
Bộ phát Wifi Router TP-Link Archer AX53 WiFi 6,Thiết bị mạng & Wifi,Thiết bị mạng & Wifi,0.059954579919576645,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.059954579919576645,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.059954579919576645,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.059954579919576645,True,7.736509820936712,1
Cục phát Wifi 4G từ SIM TP-Link M7200,Thiết bị mạng & Wifi,Thiết bị mạng & Wifi,0.08863508701324463,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.08863453567028046,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.08863508701324463,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.08863508701324463,True,3.868254910468356,1
USB Wifi Totolink N150USM,Thiết bị mạng & Wifi,Thiết bị mạng & Wifi,0.0926748588681221,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.09267494827508926,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.0926748588681221,True,4.736198448394496,1,Thiết bị mạng & Wifi,0.0926748588681221,True,3.868254910468356,1
Camera Wifi Imou Ranger 2 A22EP 1080P,Camera giám sát,Thiết bị mạng & Wifi,0.07174192368984222,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.0717417374253273,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.07174192368984222,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.07174192368984222,False,3.868254910468356,1
Camera Ezviz C6N 1080P Xoay 360 độ,Camera giám sát,Camera giám sát,0.02419734187424183,True,4.736198448394496,1,Tivi,0.042145147919654846,False,4.736198448394496,0,Camera giám sát,0.02419734187424183,True,4.736198448394496,1,Camera giám sát,0.02419734187424183,True,4.431289317921971,1
Camera ngoài trời Xiaomi CW400 2.5K,Camera giám sát,Camera giám sát,0.012459100224077702,True,4.736198448394496,1,Bình sữa & Phụ kiện,0.02294972538948059,False,4.736198448394496,0,Camera giám sát,0.012459100224077702,True,4.736198448394496,1,Camera giám sát,0.012459100224077702,True,4.431289317921971,1
Máy ảnh Sony Alpha A6400 Body,Máy ảnh kỹ thuật số,Máy ảnh kỹ thuật số,0.023131778463721275,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.02313166856765747,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.023131778463721275,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.023131778463721275,True,5.175268635358694,2
Máy ảnh Canon EOS R50 Kit 18-45mm,Máy ảnh kỹ thuật số,Máy ảnh kỹ thuật số,0.01386076956987381,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.013860671781003475,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.01386076956987381,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.01386076956987381,True,5.175268635358694,2
Máy ảnh Fujifilm X-T5 Body,Máy ảnh kỹ thuật số,Máy ảnh kỹ thuật số,0.01928093656897545,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.01928073912858963,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.01928093656897545,True,4.736198448394496,2,Máy ảnh kỹ thuật số,0.01928093656897545,True,5.175268635358694,2
Thẻ nhớ MicroSD SanDisk Ultra 64GB 100MB/s,Thẻ nhớ & USB,Thẻ nhớ & USB,0.06370741873979568,True,4.736198448394496,2,Thẻ nhớ & USB,0.06370897591114044,True,4.736198448394496,2,Thẻ nhớ & USB,0.06370741873979568,True,4.736198448394496,2,Thẻ nhớ & USB,0.06370741873979568,True,8.862578635843942,2
USB Kingston DataTraveler Exodia 64GB,Thẻ nhớ & USB,Thẻ nhớ & USB,0.04206541180610657,True,4.736198448394496,1,Thẻ nhớ & USB,0.042066141963005066,True,4.736198448394496,1,Thẻ nhớ & USB,0.04206541180610657,True,4.736198448394496,1,Thẻ nhớ & USB,0.04206541180610657,True,4.431289317921971,1
Ổ cứng SSD Samsung 980 PRO 1TB PCIe Gen 4,Linh kiện máy tính,Ổ cắm điện,0.0034809999633580446,False,4.736198448394496,1,Thẻ nhớ & USB,0.03158329427242279,False,4.736198448394496,0,Ổ cắm điện,0.0034809999633580446,False,4.736198448394496,1,Ổ cắm điện,0.0034809999633580446,False,4.431289317921971,1
