query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap,adaptive_bm25_pred,adaptive_bm25_score,adaptive_bm25_correct,adaptive_bm25_specificity,adaptive_bm25_overlap,optimized_bm25_pred,optimized_bm25_score,optimized_bm25_correct,optimized_bm25_bm25_score,optimized_bm25_overlap
Ram Desktop Kingston Fury Beast 16GB DDR4 3200Mhz,Linh kiện máy tính,Điện thoại Smartphone,0.0,False,0.0,0,Thẻ nhớ & USB,0.023935237899422646,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Card màn hình ASUS TUF Gaming RTX 3060 12GB,Linh kiện máy tính,Laptop Gaming,0.0323006771504879,False,4.736198448394496,1,Laptop Gaming,0.03230024501681328,False,4.736198448394496,1,Laptop Gaming,0.0323006771504879,False,4.736198448394496,1,Laptop Gaming,0.0323006771504879,False,5.186146173340856,1
Smart Tivi Samsung 4K Crystal UHD 55 inch UA55AU7700,Tivi,Tivi,0.05643462389707565,True,4.736198448394496,1,Tivi,0.056434787809848785,True,4.736198448394496,1,Tivi,0.05643462389707565,True,4.736198448394496,1,Tivi,0.05643462389707565,True,6.250982269768256,1
Google Tivi Sony 4K 43 inch KD-43X75K,Tivi,Tivi,0.06571835279464722,True,4.736198448394496,1,Tivi,0.06571921706199646,True,4.736198448394496,1,Tivi,0.06571835279464722,True,4.736198448394496,1,Tivi,0.06571835279464722,True,6.250982269768256,1
Smart Tivi LG 4K 50 inch 50UQ7550PSF,Tivi,Tivi,0.0821773037314415,True,4.736198448394496,1,Tivi,0.0821792483329773,True,4.736198448394496,1,Tivi,0.0821773037314415,True,4.736198448394496,1,Tivi,0.0821773037314415,True,6.250982269768256,1
Tivi Xiaomi A2 32 inch Android TV,Tivi,Tivi,0.08755423128604889,True,4.736198448394496,1,Tivi,0.08755423128604889,True,4.736198448394496,1,Tivi,0.08755423128604889,True,4.736198448394496,1,Tivi,0.08755423128604889,True,6.250982269768256,1
Tủ lạnh Samsung Inverter 236L RT22M4032DX,Tủ lạnh,Tủ lạnh,0.0832328125834465,True,4.736198448394496,2,Tủ lạnh,0.0832328125834465,True,4.736198448394496,2,Tủ lạnh,0.08323202282190323,True,4.736198448394496,2,Tủ lạnh,0.08323202282190323,True,9.749337801456697,2
Tủ lạnh Panasonic Inverter 255L NR-BV280QSVN,Tủ lạnh,Tủ lạnh,0.07615957409143448,True,4.736198448394496,2,Tủ lạnh,0.07615957409143448,True,4.736198448394496,2,Tủ lạnh,0.07615870237350464,True,4.736198448394496,2,Tủ lạnh,0.07615870237350464,True,9.749337801456697,2
Tủ lạnh Side by Side LG Inverter 635L,Tủ lạnh,Tủ lạnh,0.08424559235572815,True,4.736198448394496,2,Tủ lạnh,0.08424559235572815,True,4.736198448394496,2,Tủ lạnh,0.08424470573663712,True,4.736198448394496,2,Tủ lạnh,0.08424470573663712,True,9.749337801456697,2
Tủ lạnh mini Aqua 90L AQR-D99FA,Tủ lạnh,Tủ lạnh,0.05625913292169571,True,4.736198448394496,2,Tủ lạnh,0.05625913292169571,True,4.736198448394496,2,Tủ lạnh,0.05625826492905617,True,4.736198448394496,2,Tủ lạnh,0.05625826492905617,True,9.749337801456697,2
Máy giặt cửa trước LG Inverter 9kg FV1409S4W,Máy giặt,Máy giặt,0.11838875710964203,True,4.736198448394496,2,Máy giặt,0.11838875710964203,True,4.736198448394496,2,Máy giặt,0.1183873787522316,True,4.736198448394496,2,Máy giặt,0.1183873787522316,True,7.197088597793328,2
Máy giặt cửa trên Toshiba 9kg AW-K1005FV,Máy giặt,Máy giặt,0.06804514676332474,True,4.736198448394496,2,Máy giặt,0.06804514676332474,True,4.736198448394496,2,Máy giặt,0.06804592162370682,True,4.736198448394496,2,Máy giặt,0.06804592162370682,True,7.197088597793328,2
Máy giặt lồng ngang Electrolux Inverter 10kg,Máy giặt,Máy giặt,0.04997251555323601,True,4.736198448394496,2,Máy giặt,0.04997251555323601,True,4.736198448394496,2,Máy giặt,0.04997297003865242,True,4.736198448394496,2,Máy giặt,0.04997297003865242,True,7.197088597793328,2
Máy giặt Samsung AI Inverter 9kg WW90T634DLE,Máy giặt,Máy giặt,0.18564535677433014,True,4.736198448394496,2,Máy giặt,0.18564535677433014,True,4.736198448394496,2,Máy giặt,0.18564552068710327,True,4.736198448394496,2,Máy giặt,0.18564552068710327,True,7.197088597793328,2
Máy sấy thông hơi Electrolux 8.5kg EDV854J3WB,Máy sấy quần áo,Máy sấy quần áo,0.06900366395711899,True,4.736198448394496,2,Máy sấy quần áo,0.06900478154420853,True,4.736198448394496,2,Máy sấy quần áo,0.06900366395711899,True,4.736198448394496,2,Máy sấy quần áo,0.06900366395711899,True,5.832832179616035,2
Máy sấy bơm nhiệt Samsung 9kg DV90T7240BB,Máy sấy quần áo,Máy sấy quần áo,0.04354964569211006,True,4.736198448394496,2,Máy sấy quần áo,0.04355139285326004,True,4.736198448394496,2,Máy sấy quần áo,0.04354964569211006,True,4.736198448394496,2,Máy sấy quần áo,0.04354964569211006,True,5.832832179616035,2
Máy lạnh Panasonic Inverter 1 HP CU/CS-PU9ZKH-8,Máy lạnh - Điều hòa,Máy lạnh - Điều hòa,0.0693148747086525,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.06931433081626892,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.0693148747086525,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.0693148747086525,True,5.3681813776482,2
Điều hòa Daikin Inverter 1.5 HP FTKB35XVMV,Máy lạnh - Điều hòa,Máy lạnh - Điều hòa,0.08340128511190414,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08340420573949814,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08340128511190414,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08340128511190414,True,7.736509820936712,2
Máy lạnh Casper Inverter 1 HP GC-09IS35,Máy lạnh - Điều hòa,Máy lạnh - Điều hòa,0.08026513457298279,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08026526868343353,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08026513457298279,True,4.736198448394496,2,Máy lạnh - Điều hòa,0.08026513457298279,True,5.3681813776482,2
Máy nước nóng trực tiếp Ariston 4500W AURES PREMIUM,Máy nước nóng,Máy nước nóng,0.14969155192375183,True,4.736198448394496,3,Máy nước nóng,0.14969155192375183,True,4.736198448394496,3,Máy nước nóng,0.14969325065612793,True,4.736198448394496,3,Máy nước nóng,0.14969325065612793,True,9.147635997235774,3
Máy nước nóng gián tiếp Ferroli 20L VERDI 20L,Máy nước nóng,Máy nước nóng,0.1275469958782196,True,4.736198448394496,3,Máy nước nóng,0.1275469958782196,True,4.736198448394496,3,Máy nước nóng,0.12754815816879272,True,4.736198448394496,3,Máy nước nóng,0.12754815816879272,True,9.147635997235774,3
Máy lọc không khí Xiaomi Smart Air Purifier 4 Lite,Máy lọc không khí,Máy lọc không khí,0.15508835017681122,True,4.736198448394496,4,Máy lọc không khí,0.15508835017681122,True,4.736198448394496,4,Máy lọc không khí,0.15509158372879028,True,4.736198448394496,4,Máy lọc không khí,0.15509158372879028,True,13.104691198584913,4
Máy lọc không khí Sharp FP-J30E-B hút ẩm,Máy lọc không khí,Máy lọc không khí,0.17478053271770477,True,4.736198448394496,4,Máy lọc không khí,0.17478053271770477,True,4.736198448394496,4,Máy lọc không khí,0.17478163540363312,True,4.736198448394496,4,Máy lọc không khí,0.17478163540363312,True,13.104691198584913,4
Máy lọc không khí Daikin MC30YVM7,Máy lọc không khí,Máy lọc không khí,0.19653205573558807,True,4.736198448394496,4,Máy lọc không khí,0.19653205573558807,True,4.736198448394496,4,Máy lọc không khí,0.19653041660785675,True,4.736198448394496,4,Máy lọc không khí,0.19653041660785675,True,13.104691198584913,4
Robot hút bụi lau nhà Xiaomi Vacuum S10,Robot hút bụi,Robot hút bụi,0.20223337411880493,True,4.736198448394496,3,Robot hút bụi,0.20223337411880493,True,4.736198448394496,3,Robot hút bụi,0.20223602652549744,True,4.736198448394496,3,Robot hút bụi,0.20223602652549744,True,12.229304121764134,3
Robot hút bụi Ecovacs Deebot T10 Omni,Robot hút bụi,Robot hút bụi,0.36695411801338196,True,4.736198448394496,3,Robot hút bụi,0.36695411801338196,True,4.736198448394496,3,Robot hút bụi,0.36695122718811035,True,4.736198448394496,3,Robot hút bụi,0.36695122718811035,True,12.229304121764134,3
Robot hút bụi Dreame L10 Prime,Robot hút bụi,Robot hút bụi,0.2839395999908447,True,4.736198448394496,3,Robot hút bụi,0.2839395999908447,True,4.736198448394496,3,Robot hút bụi,0.2839345335960388,True,4.736198448394496,3,Robot hút bụi,0.2839345335960388,True,12.229304121764134,3
Máy hút bụi cầm tay Deerma DX115C,Máy hút bụi cầm tay,Máy hút bụi cầm tay,0.7768283486366272,True,4.736198448394496,5,Máy hút bụi cầm tay,0.7768283486366272,True,4.736198448394496,5,Máy hút bụi cầm tay,0.7768310308456421,True,4.736198448394496,5,Máy hút bụi cầm tay,0.7768310308456421,True,14.647234875806488,5
Máy hút bụi không dây Samsung Jet 60 Pet,Máy hút bụi cầm tay,Máy hút bụi cầm tay,0.04036135971546173,True,4.736198448394496,3,Máy hút bụi cầm tay,0.04036221280694008,True,4.736198448394496,3,Máy hút bụi cầm tay,0.04036135971546173,True,4.736198448394496,3,Máy hút bụi cầm tay,0.04036135971546173,True,7.78289943969354,3
Quạt đứng Senko L1638 3 tốc độ gió,Quạt điện,Quạt điện,0.08586875349283218,True,4.736198448394496,1,Quạt điện,0.08586965501308441,True,4.736198448394496,1,Quạt điện,0.08586875349283218,True,4.736198448394496,1,Quạt điện,0.08586875349283218,True,5.186146173340856,1
Quạt tháp Mitsubishi Electric R30-HRA,Quạt điện,Quạt điện,0.14294591546058655,True,4.736198448394496,1,Quạt điện,0.14294813573360443,True,4.736198448394496,1,Quạt điện,0.14294591546058655,True,4.736198448394496,1,Quạt điện,0.14294591546058655,True,5.186146173340856,1
Quạt lửng Asia A16009,Quạt điện,Quạt điện,0.09325505048036575,True,4.736198448394496,1,Quạt điện,0.09325523674488068,True,4.736198448394496,1,Quạt điện,0.09325505048036575,True,4.736198448394496,1,Quạt điện,0.09325505048036575,True,5.186146173340856,1
Nồi cơm điện nắp gài Sharp 1.8 lít KS-18TJV,Nồi cơm điện,Nồi cơm điện,0.11298585683107376,True,4.736198448394496,3,Nồi cơm điện,0.11298585683107376,True,4.736198448394496,3,Nồi cơm điện,0.11298526078462601,True,4.736198448394496,3,Nồi cơm điện,0.11298526078462601,True,11.255105769951104,3
Nồi cơm điện tử Cuckoo 1 lít CR-0675F,Nồi cơm điện,Nồi cơm điện,0.12549743056297302,True,4.736198448394496,3,Nồi cơm điện,0.12549743056297302,True,4.736198448394496,3,Nồi cơm điện,0.12549836933612823,True,4.736198448394496,3,Nồi cơm điện,0.12549836933612823,True,11.255105769951104,3
Nồi cơm điện cao tần Toshiba 1.8 lít RC-18IX1PV,Nồi cơm điện,Nồi cơm điện,0.16819719970226288,True,4.736198448394496,3,Nồi cơm điện,0.16819719970226288,True,4.736198448394496,3,Nồi cơm điện,0.16819986701011658,True,4.736198448394496,3,Nồi cơm điện,0.16819986701011658,True,11.255105769951104,3
Nồi chiên không dầu Philips 4.1 lít HD9200/90,Nồi chiên không dầu,Nồi chiên không dầu,0.5095399022102356,True,4.736198448394496,4,Nồi chiên không dầu,0.5095399022102356,True,4.736198448394496,4,Nồi chiên không dầu,0.5095418095588684,True,4.736198448394496,4,Nồi chiên không dầu,0.5095418095588684,True,13.77023822514899,4
Nồi chiên không dầu Lock&Lock 5.2L EJF351BLK,Nồi chiên không dầu,Nồi chiên không dầu,0.4519616663455963,True,4.736198448394496,4,Nồi chiên không dầu,0.4519616663455963,True,4.736198448394496,4,Nồi chiên không dầu,0.45196375250816345,True,4.736198448394496,4,Nồi chiên không dầu,0.45196375250816345,True,13.77023822514899,4
Nồi chiên không dầu Sunhouse 6L SHD4026,Nồi chiên không dầu,Nồi chiên không dầu,0.4901641011238098,True,4.736198448394496,4,Nồi chiên không dầu,0.4901641011238098,True,4.736198448394496,4,Nồi chiên không dầu,0.4901627004146576,True,4.736198448394496,4,Nồi chiên không dầu,0.4901627004146576,True,13.77023822514899,4
Nồi chiên không dầu Kalite Q10 10L,Nồi chiên không dầu,Nồi chiên không dầu,0.5305108428001404,True,4.736198448394496,4,Nồi chiên không dầu,0.5305108428001404,True,4.736198448394496,4,Nồi chiên không dầu,0.5305080413818359,True,4.736198448394496,4,Nồi chiên không dầu,0.5305080413818359,True,13.77023822514899,4
Lò vi sóng Sharp 20 lít R-205VN(S),Lò vi sóng,Lò vi sóng,0.4522098898887634,True,4.736198448394496,3,Lò vi sóng,0.4522098898887634,True,4.736198448394496,3,Lò vi sóng,0.4522098898887634,True,4.736198448394496,3,Lò vi sóng,0.4522098898887634,True,12.761586037765023,3
Lò vi sóng có nướng Samsung 23L MG23K3515AS,Lò vi sóng,Lò vi sóng,0.49159863591194153,True,4.736198448394496,3,Lò vi sóng,0.49159863591194153,True,4.736198448394496,3,Lò vi sóng,0.4915953576564789,True,4.736198448394496,3,Lò vi sóng,0.4915953576564789,True,12.761586037765023,3
Bếp từ đơn Sunhouse SHD6152 kèm nồi,Bếp từ & Bếp hồng ngoại,Nồi & Bộ nồi,0.1352965384721756,False,4.736198448394496,1,Nồi & Bộ nồi,0.13529621064662933,False,4.736198448394496,1,Nồi & Bộ nồi,0.1352965384721756,False,4.736198448394496,1,Nồi & Bộ nồi,0.1352965384721756,False,5.029749202729736,1
Bếp hồng ngoại đơn Sanaky SNK-2101HG,Bếp từ & Bếp hồng ngoại,Bếp từ & Bếp hồng ngoại,0.09941572695970535,True,4.736198448394496,3,Bếp từ & Bếp hồng ngoại,0.09941589087247849,True,4.736198448394496,3,Bếp từ & Bếp hồng ngoại,0.09941572695970535,True,4.736198448394496,3,Bếp từ & Bếp hồng ngoại,0.09941572695970535,True,10.624685197867457,3
Bếp từ đôi Kangaroo KG498N,Bếp từ & Bếp hồng ngoại,Bếp từ & Bếp hồng ngoại,0.07123184204101562,True,4.736198448394496,2,Bếp từ & Bếp hồng ngoại,0.07123199105262756,True,4.736198448394496,2,Bếp từ & Bếp hồng ngoại,0.07123184204101562,True,4.736198448394496,2,Bếp từ & Bếp hồng ngoại,0.07123184204101562,True,8.01705439353261,2
Máy xay sinh tố Panasonic MX-V310KRA,Máy xay sinh tố,Máy xay sinh tố,0.5279061794281006,True,4.736198448394496,4,Máy xay sinh tố,0.5279061794281006,True,4.736198448394496,4,Máy xay sinh tố,0.5279114842414856,True,4.736198448394496,4,Máy xay sinh tố,0.5279114842414856,True,12.79586218776398,4
Máy xay cầm tay Braun MQ5200,Máy xay sinh tố,Máy xay sinh tố,0.03875565901398659,True,4.736198448394496,2,Máy xay sinh tố,0.03875573351979256,True,4.736198448394496,2,Máy xay sinh tố,0.03875565901398659,True,4.736198448394496,2,Máy xay sinh tố,0.03875565901398659,True,5.832832179616035,2
Máy xay thịt Bear 2L cối thủy tinh,Máy xay sinh tố,Máy xay sinh tố,0.05357598513364792,True,4.736198448394496,2,Máy xay sinh tố,0.053576573729515076,True,4.736198448394496,2,Máy xay sinh tố,0.05357598513364792,True,4.736198448394496,2,Máy xay sinh tố,0.05357598513364792,True,5.832832179616035,2
Ấm siêu tốc Sunhouse 1.8 lít SHD1182,Ấm siêu tốc,Ấm siêu tốc,0.5602084994316101,True,4.736198448394496,3,Ấm siêu tốc,0.5602084994316101,True,4.736198448394496,3,Ấm siêu tốc,0.5602084994316101,True,4.736198448394496,3,Ấm siêu tốc,0.5602084994316101,True,13.293867953765913,3
Bình đun siêu tốc Philips 1.7L HD9306,Ấm siêu tốc,Ấm siêu tốc,0.054724354296922684,True,4.736198448394496,2,Ấm siêu tốc,0.054725486785173416,True,4.736198448394496,2,Ấm siêu tốc,0.054724354296922684,True,4.736198448394496,2,Ấm siêu tốc,0.054724354296922684,True,8.862578635843942,2
Bình giữ nhiệt Lock&Lock 450ml Feather Light,Bình giữ nhiệt,Bình giữ nhiệt,0.4091435372829437,True,4.736198448394496,3,Bình giữ nhiệt,0.4091435372829437,True,4.736198448394496,3,Bình giữ nhiệt,0.4091463088989258,True,4.736198448394496,3,Bình giữ nhiệt,0.4091463088989258,True,12.761586037765023,3
Ly giữ nhiệt Yeti 900ml kèm ống hút,Bình giữ nhiệt,Bình giữ nhiệt,0.059810031205415726,True,4.736198448394496,2,Bình giữ nhiệt,0.059810567647218704,True,4.736198448394496,2,Bình giữ nhiệt,0.059810031205415726,True,4.736198448394496,2,Bình giữ nhiệt,0.059810031205415726,True,8.862578635843942,2
Chảo chống dính Sunhouse 26cm CT26,Chảo chống dính,Chảo chống dính,0.15539789199829102,True,4.736198448394496,3,Chảo chống dính,0.15539789199829102,True,4.736198448394496,3,Chảo chống dính,0.15539801120758057,True,4.736198448394496,3,Chảo chống dính,0.15539801120758057,True,12.761586037765023,3
Chảo đá đáy từ Elmich 24cm,Chảo chống dính,Chảo chống dính,0.0322963111102581,True,4.736198448394496,1,Chảo chống dính,0.03229669854044914,True,4.736198448394496,1,Chảo chống dính,0.0322963111102581,True,4.736198448394496,1,Chảo chống dính,0.0322963111102581,True,4.431289317921971,1
Bộ nồi inox 3 đáy Fivestar nắp kính,Nồi & Bộ nồi,Nồi & Bộ nồi,0.09272940456867218,True,4.736198448394496,2,Nồi & Bộ nồi,0.09272892028093338,True,4.736198448394496,2,Nồi & Bộ nồi,0.09272940456867218,True,4.736198448394496,2,Nồi & Bộ nồi,0.09272940456867218,True,9.461038520651707,2
Nồi lẩu điện đa năng Lock&Lock 5L EJP431,Nồi & Bộ nồi,Nồi & Bộ nồi,0.06559504568576813,True,4.736198448394496,1,Nồi & Bộ nồi,0.06559423357248306,True,4.736198448394496,1,Nồi & Bộ nồi,0.06559504568576813,True,4.736198448394496,1,Nồi & Bộ nồi,0.06559504568576813,True,5.029749202729736,1
Bộ dao nhà bếp 7 món Lock&Lock,Dụng cụ nhà bếp,Dụng cụ nhà bếp,0.03926652669906616,True,4.736198448394496,2,Dụng cụ nhà bếp,0.03926709666848183,True,4.736198448394496,2,Dụng cụ nhà bếp,0.03926652669906616,True,4.736198448394496,2,Dụng cụ nhà bếp,0.03926652669906616,True,6.807208217001042,2
Hộp đựng thực phẩm Inox 304 có nắp,Dụng cụ nhà bếp,Vitamin & Thực phẩm chức năng,0.002850812394171953,False,4.736198448394496,2,Nhớt & Phụ gia,0.01482762023806572,False,4.736198448394496,0,Vitamin & Thực phẩm chức năng,0.002850812394171953,False,4.736198448394496,2,Vitamin & Thực phẩm chức năng,0.002850812394171953,False,6.864335436112948,2
Thớt gỗ Teak tự nhiên Kaiyo,Dụng cụ nhà bếp,Điện thoại Smartphone,0.0,False,0.0,0,Nhớt & Phụ gia,0.05612469092011452,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Bóng đèn LED Bulb Rạng Đông 9W,Đèn chiếu sáng,Đèn chiếu sáng,0.008176961913704872,True,4.736198448394496,1,Bình sữa & Phụ kiện,0.014368392527103424,False,4.736198448394496,0,Đèn chiếu sáng,0.008176961913704872,True,4.736198448394496,1,Đèn chiếu sáng,0.008176961913704872,True,4.431289317921971,1
Đèn bàn học chống cận Điện Quang,Đèn chiếu sáng,Dụng cụ học tập,0.02132538892328739,False,4.736198448394496,1,Dụng cụ học tập,0.02132546529173851,False,4.736198448394496,1,Dụng cụ học tập,0.02132538892328739,False,4.736198448394496,1,Dụng cụ học tập,0.02132538892328739,False,3.868254910468356,1
Ổ cắm điện Lioa 6 lỗ đa năng 3m,Ổ cắm điện,Ổ cắm điện,0.2781055271625519,True,4.736198448394496,3,Ổ cắm điện,0.2781055271625519,True,4.736198448394496,3,Ổ cắm điện,0.2781037986278534,True,4.736198448394496,3,Ổ cắm điện,0.2781037986278534,True,12.14116755009996,3
Ổ cắm điện thông minh Wifi Tuya,Ổ cắm điện,Ổ cắm điện,0.1616651713848114,True,4.736198448394496,3,Ổ cắm điện,0.1616651713848114,True,4.736198448394496,3,Ổ cắm điện,0.16166464984416962,True,4.736198448394496,3,Ổ cắm điện,0.16166464984416962,True,12.14116755009996,3
Áo thun nam cổ tròn Basic Teelab,Áo thun nam,Áo thun nam,0.6138309836387634,True,4.736198448394496,3,Áo thun nam,0.6138309836387634,True,4.736198448394496,3,Áo thun nam,0.6138409972190857,True,4.736198448394496,3,Áo thun nam,0.6138409972190857,True,9.135796425968838,3
Áo phông nam Coolmate Cotton Compact,Áo thun nam,Áo thun nam,0.08500627428293228,True,4.736198448394496,2,Áo thun nam,0.08500613272190094,True,4.736198448394496,2,Áo thun nam,0.08500627428293228,True,4.736198448394496,2,Áo thun nam,0.08500627428293228,True,5.2367890240477575,2
Áo Polo nam Yody chất liệu Pique,Áo thun nam,Áo thun nam,0.05947381258010864,True,4.736198448394496,2,Áo thun nam,0.05947493389248848,True,4.736198448394496,2,Áo thun nam,0.05947381258010864,True,4.736198448394496,2,Áo thun nam,0.05947381258010864,True,5.2367890240477575,2
Áo sơ mi nam trắng Owen dài tay,Áo sơ mi nam,Áo sơ mi nam,0.5325828194618225,True,4.736198448394496,4,Áo sơ mi nam,0.5325828194618225,True,4.736198448394496,4,Áo sơ mi nam,0.532586395740509,True,4.736198448394496,4,Áo sơ mi nam,0.532586395740509,True,11.378616988581555,4
Áo sơ mi nam ngắn tay họa tiết caro An Phuoc,Áo sơ mi nam,Áo sơ mi nam,0.6585714817047119,True,4.736198448394496,4,Áo sơ mi nam,0.6585714817047119,True,4.736198448394496,4,Áo sơ mi nam,0.6585726141929626,True,4.736198448394496,4,Áo sơ mi nam,0.6585726141929626,True,11.378616988581555,4
Áo sơ mi Flannel nam form rộng,Áo sơ mi nam,Áo sơ mi nam,0.7937223315238953,True,4.736198448394496,4,Áo sơ mi nam,0.7937203049659729,True,4.736198448394496,4,Áo sơ mi nam,0.7937223315238953,True,4.736198448394496,4,Áo sơ mi nam,0.7937223315238953,True,11.378616988581555,4
Quần Jeans nam Slimfit Routine,Quần Jeans nam,Quần Jeans nam,0.5311949253082275,True,4.736198448394496,3,Quần Jeans nam,0.5311949253082275,True,4.736198448394496,3,Quần Jeans nam,0.5311985015869141,True,4.736198448394496,3,Quần Jeans nam,0.5311985015869141,True,9.31629997086614,3
Quần bò nam ống suông Levi's 501,Quần Jeans nam,Quần Jeans nam,0.2084621787071228,True,4.736198448394496,2,Quần Jeans nam,0.20845918357372284,True,4.736198448394496,2,Quần Jeans nam,0.2084621787071228,True,4.736198448394496,2,Quần Jeans nam,0.2084621787071228,True,5.417292568945058,2
Quần Jeans nam rách gối phong cách bụi,Quần Jeans nam,Quần Jeans nam,0.22217462956905365,True,4.736198448394496,3,Quần Jeans nam,0.22217462956905365,True,4.736198448394496,3,Quần Jeans nam,0.2221810519695282,True,4.736198448394496,3,Quần Jeans nam,0.2221810519695282,True,9.31629997086614,3
Quần Short nam Kaki co giãn 4 chiều,Quần Short nam,Quần Short nam,0.5735683441162109,True,4.736198448394496,3,Quần Short nam,0.5735683441162109,True,4.736198448394496,3,Quần Short nam,0.5735726952552795,True,4.736198448394496,3,Quần Short nam,0.5735726952552795,True,9.848581886867029,3
Quần đùi thể thao nam Adidas chính hãng,Quần Short nam,Quần Short nam,0.0549570731818676,True,4.736198448394496,2,Quần Short nam,0.0549573190510273,True,4.736198448394496,2,Quần Short nam,0.0549570731818676,True,4.736198448394496,2,Quần Short nam,0.0549570731818676,True,5.417292568945058,2
Áo khoác gió nam 2 lớp chống nước,Áo khoác nam,Áo khoác nam,0.06843479722738266,True,4.736198448394496,3,Áo khoác nam,0.06843400001525879,True,4.736198448394496,3,Áo khoác nam,0.06843479722738266,True,4.736198448394496,3,Áo khoác nam,0.06843479722738266,True,9.668078341969728,3
Áo khoác Bomber nam lót lông,Áo khoác nam,Áo khoác nam,0.11840042471885681,True,4.736198448394496,3,Áo khoác nam,0.11840061843395233,True,4.736198448394496,3,Áo khoác nam,0.11840042471885681,True,4.736198448394496,3,Áo khoác nam,0.11840042471885681,True,9.668078341969728,3
Áo khoác Hoodie nam nỉ bông dày,Áo khoác nam,Áo khoác nam,0.11445462703704834,True,4.736198448394496,3,Áo khoác nam,0.11445462703704834,True,4.736198448394496,3,Áo khoác nam,0.11445462703704834,True,4.736198448394496,3,Áo khoác nam,0.11445462703704834,True,9.668078341969728,3
Combo 3 quần lót nam Boxer Freeman,Đồ lót nam,Đồ lót nam,0.06588606536388397,True,4.736198448394496,2,Đồ lót nam,0.06588541716337204,True,4.736198448394496,2,Đồ lót nam,0.06588606536388397,True,4.736198448394496,2,Đồ lót nam,0.06588606536388397,True,6.252561281737059,2
Quần sịp tam giác nam Calvin Klein,Đồ lót nam,Quần Jeans nam,0.09796717762947083,False,4.736198448394496,2,Quần Jeans nam,0.09796666353940964,False,4.736198448394496,2,Quần Jeans nam,0.09796717762947083,False,4.736198448394496,2,Quần Jeans nam,0.09796717762947083,False,5.417292568945058,2
